"","V85","V86","V87","V88","V89","V227","V211","V214","V248","V191","V242","V240","V141","C_COW_ALPHA","V84","V103","V29","V28","V25","V30","V32","V34","V35","V116","V115","V227.1","V229","V191.1","V248.1","V118","V115.1","V105"
"80932",3,3,3,3,3,3,1,1,7,1,62,2,3,"UKR",2,2,0,0,0,0,0,0,0,3,3,3,4,1,7,3,3,4
"80933",3,3,3,3,3,1,1,1,2,1,70,2,4,"UKR",4,3,0,0,0,0,0,0,0,4,4,1,4,1,2,2,4,2
"80934",2,3,3,3,3,1,3,1,2,1,73,2,3,"UKR",2,2,0,0,0,0,0,0,0,2,3,1,4,1,2,2,3,3
"80935",2,3,3,3,3,1,1,1,2,1,72,2,4,"UKR",4,1,0,0,2,0,0,0,0,1,1,1,4,1,2,2,1,3
"80936",1,3,2,3,3,1,1,1,7,1,75,2,3,"UKR",2,2,0,0,1,0,2,0,0,3,3,1,4,1,7,3,3,3
"80937",1,3,3,3,3,1,4,3,5,2,83,2,8,"UKR",2,1,0,0,1,0,0,0,0,2,1,1,4,2,5,2,1,3
"80938",2,2,2,2,2,2,4,3,7,4,75,2,1,"UKR",3,2,0,0,0,0,0,0,0,2,2,2,4,4,7,2,2,3
"80939",3,3,3,3,3,1,3,2,5,3,60,2,1,"UKR",4,1,0,1,0,0,0,0,0,4,4,1,1,3,5,2,4,3
"80940",3,3,1,3,3,1,1,1,5,2,73,2,3,"UKR",2,2,0,0,0,0,0,0,0,3,3,1,4,2,5,3,3,2
"80941",3,3,3,3,3,1,3,2,9,4,62,2,6,"UKR",2,2,0,0,0,0,0,0,0,3,3,1,4,4,9,3,3,3
"80942",3,3,3,3,3,1,2,2,9,4,74,2,2,"UKR",1,2,0,0,0,0,0,0,0,3,3,1,4,4,9,3,3,3
"80943",3,3,3,3,3,1,2,3,9,2,66,2,4,"UKR",3,2,0,0,0,0,0,0,0,3,2,1,1,2,9,2,2,2
"80944",3,3,3,3,3,1,1,1,2,4,75,2,4,"UKR",1,3,0,0,0,0,0,0,0,4,4,1,4,4,2,4,4,3
"80945",3,3,3,3,3,1,5,3,7,4,72,2,6,"UKR",3,1,0,0,0,0,0,0,0,2,2,1,4,4,7,2,2,2
"80946",3,3,3,3,3,1,2,2,7,3,72,2,1,"UKR",3,2,0,0,0,0,0,0,0,4,3,1,4,3,7,4,3,3
"80947",3,3,3,3,3,1,3,2,9,2,65,2,8,"UKR",1,2,0,1,0,0,0,2,0,2,1,1,1,2,9,3,1,3
"80948",2,3,2,3,3,1,1,1,5,2,70,2,1,"UKR",1,2,0,0,0,0,0,0,0,3,4,1,4,2,5,2,4,3
"80949",3,3,3,3,3,1,1,1,6,2,78,2,9,"UKR",3,1,0,0,2,0,0,2,0,3,3,1,4,2,6,3,3,2
"80950",3,3,3,3,3,1,2,1,7,2,65,2,6,"UKR",2,1,0,0,0,0,0,0,0,4,4,1,4,2,7,4,4,2
"80951",3,3,3,3,3,1,3,1,9,2,64,2,3,"UKR",3,2,0,0,1,0,0,0,0,4,4,1,2,2,9,4,4,3
"80952",3,3,1,3,3,1,3,1,9,2,64,2,8,"UKR",3,1,0,2,0,0,0,0,0,1,4,1,2,2,9,3,4,2
"80953",3,3,3,1,3,1,2,1,7,4,67,2,7,"UKR",3,2,0,0,0,0,0,0,0,2,1,1,4,4,7,1,1,4
"80954",3,3,3,3,3,1,5,4,9,2,61,2,1,"UKR",3,2,0,0,0,0,0,0,0,3,3,1,4,2,9,2,3,4
"80955",3,3,3,3,3,1,4,3,7,4,61,2,1,"UKR",2,4,0,0,0,0,0,0,0,4,4,1,4,4,7,2,4,4
"80956",2,3,2,3,1,1,5,4,9,3,64,2,5,"UKR",1,2,0,0,0,0,0,0,0,2,2,1,4,3,9,2,2,2
"80957",1,2,1,2,2,1,5,2,9,1,76,2,1,"UKR",1,1,0,0,0,0,0,2,0,2,1,1,4,1,9,2,1,2
"80958",3,3,3,3,3,1,5,4,6,1,75,2,2,"UKR",3,2,0,0,0,0,0,0,0,2,3,1,4,1,6,2,3,4
"80959",3,3,3,3,3,1,5,4,2,1,83,2,1,"UKR",2,2,0,0,0,0,0,0,0,2,2,1,4,1,2,2,2,3
"80960",2,3,2,3,3,1,5,4,9,1,72,2,5,"UKR",1,1,0,0,0,0,0,0,0,2,1,1,4,1,9,2,1,2
"80961",3,3,2,3,3,2,2,2,5,1,73,2,5,"UKR",2,1,0,0,0,0,0,0,0,4,3,2,4,1,5,2,3,2
"80962",3,3,3,3,3,1,2,3,2,4,79,2,5,"UKR",3,2,0,0,0,0,0,0,1,4,4,1,4,4,2,4,4,3
"80963",3,3,1,3,3,1,5,1,9,1,79,2,1,"UKR",2,2,0,0,1,0,0,0,0,3,2,1,4,1,9,3,2,3
"80964",3,3,1,3,3,1,1,1,7,1,60,2,6,"UKR",3,2,0,0,0,0,0,0,0,4,3,1,4,1,7,3,3,4
"80965",3,3,3,3,3,1,4,1,6,1,69,2,1,"UKR",4,3,0,0,0,0,0,0,0,3,3,1,4,1,6,3,3,4
"80966",3,3,3,3,3,2,4,1,6,1,84,2,1,"UKR",3,4,0,0,0,0,0,0,0,4,4,2,4,1,6,4,4,4
"80967",3,3,3,3,3,1,3,1,5,2,80,2,6,"UKR",2,2,0,0,0,0,0,0,0,4,4,1,4,2,5,3,4,2
"80968",3,3,3,3,3,1,2,1,7,3,67,2,4,"UKR",3,1,0,0,0,0,0,0,0,2,2,1,4,3,7,2,2,3
"80969",3,3,3,3,3,1,2,1,5,3,68,2,6,"UKR",3,2,0,0,0,0,0,0,0,4,4,1,4,3,5,2,4,3
